epoch,dev_f1,dev_precision,dev_recall,dev_support,loss,test_f1,test_precision,test_recall,test_support,val_dev_f1,val_dev_precision,val_dev_recall,val_dev_support,val_loss,val_test_f1,val_test_precision,val_test_recall,val_test_support
15,"""[0.9013170452376408, 0.5739245096423273]""","""[0.9263182674199624, 0.51402421021553]""","""[0.8776299159913761, 0.6496268656716417]""","""[13451, 2680]""",0.05148785188794136,"""[0.9009287057041048, 0.778648445336008]""","""[0.961607570675611, 0.6824350310422505]""","""[0.8474531538664555, 0.906443844413632]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"""[0.8933852140077821, 0.5824443767144163]""","""[0.9372193648461099, 0.49227202472952086]""","""[0.8534681436324437, 0.7130597014925373]""","""[13451, 2680]""",0.047988101840019226,"""[0.880159383256096, 0.7552699077213362]""","""[0.9715077923319629, 0.6336070439256035]""","""[0.8045130641330166, 0.9347588119389915]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"""[0.903695281409892, 0.5676365492598264]""","""[0.9217566104839957, 0.5217391304347826]""","""[0.8863281540405917, 0.6223880597014926]""","""[13451, 2680]""",0.04911543428897858,"""[0.9139485511042489, 0.7963325502479771]""","""[0.9567074578619257, 0.7201534375922101]""","""[0.8748482449195039, 0.8905349193607239]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"""[0.9002995621783547, 0.5829048843187661]""","""[0.931198855962501, 0.5118510158013544]""","""[0.871385027135529, 0.676865671641791]""","""[13451, 2680]""",0.04980885982513428,"""[0.9034424617113952, 0.7853573213393302]""","""[0.966015625, 0.6865068530552066]""","""[0.8484824491950382, 0.9174633291979858]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"""[0.8975779887618679, 0.5906767848846214]""","""[0.9374291727375749, 0.5048980672491395]""","""[0.8609768790424503, 0.7115671641791045]""","""[13451, 2680]""",0.04995343089103699,"""[0.8929893501907854, 0.7718968133535661]""","""[0.9695170963952267, 0.6607263469631631]""","""[0.827659012932172, 0.9280449536597826]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"""[0.9170192236324501, 0.5793829947328819]""","""[0.9155242682474991, 0.5842185128983308]""","""[0.9185190692141848, 0.5746268656716418]""","""[13451, 2680]""",0.04144405201077461,"""[0.9248727282496272, 0.805386408712899]""","""[0.9417348250677025, 0.7696860867251929]""","""[0.9086038532594352, 0.844559585492228]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"""[0.9055280213495996, 0.5891909814323607]""","""[0.9293371938336333, 0.5301312649164678]""","""[0.8829083339528659, 0.6630597014925373]""","""[13451, 2680]""",0.0444021038711071,"""[0.9086339072514766, 0.792765970924524]""","""[0.9647718174539631, 0.700335758254057]""","""[0.8586698337292161, 0.9133036561336934]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"""[0.9101538925769463, 0.5857391304347827]""","""[0.9237424393231759, 0.5485342019543974]""","""[0.896959333878522, 0.6283582089552239]""","""[13451, 2680]""",0.03842319920659065,"""[0.9128247536351733, 0.7935098429695406]""","""[0.9552863118419155, 0.7179229678638941]""","""[0.8739773027183954, 0.8868860833394148]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"""[0.9107223646508822, 0.5873126524921575]""","""[0.9238889313852979, 0.5510137344669719]""","""[0.8979258047728793, 0.628731343283582]""","""[13451, 2680]""",0.035458456724882126,"""[0.9126483628452621, 0.7924083769633509]""","""[0.9540822201750345, 0.7182772735362164]""","""[0.8746634996041172, 0.8836021309202364]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"""[0.9101242800848742, 0.5959114139693356]""","""[0.9280581098833166, 0.5482758620689655]""","""[0.8928704185562412, 0.6526119402985074]""","""[13451, 2680]""",0.03411678224802017,"""[0.9108938353789612, 0.7932820694314854]""","""[0.9598129475376297, 0.709402693060191]""","""[0.8667194510424914, 0.899657009413997]""","""[37890, 13703]""",NA,NA,NA,NA,NA,NA,NA,NA,NA
